,,,,,
,,,,,
Product,Brand,Category,Series,Subseries,Variant
Analog IN/ OU,Mitsubishi,PLC,Q Series,Analog I/O Module,Analog IN/ OU
Base Unit,Mitsubishi,PLC,Q Series,Main/Extension Base,Base Unit
Battery,Mitsubishi,PLC,Q Series,Backup Battery,Battery
Communication,Mitsubishi,PLC,Q Series,Network/Comm Module,Communication
CPU,Mitsubishi,PLC,Q Series,Programmable Controller,CPU
FC 051,Danfoss,Inverter,VLT (FC),Micro Drive,FC 051
FC 102,Danfoss,Inverter,VLT (FC),HVAC Drive,FC 102
FC 302,Danfoss,Inverter,VLT (FC),AutomationDrive,FC 302
FC 360,Danfoss,Inverter,VLT (FC),VLT 360,FC 360
FC280,Danfoss,Inverter,VLT (FC),Midi Drive,FC280
FR-A820,Mitsubishi,Inverter,FR-A800,200V Class Model,FR-A820
FR-A840,Mitsubishi,Inverter,FR-A800,400V Class Model,FR-A840
FR-CS84,Mitsubishi,Inverter,FR-CS80,400V Class Model,FR-CS84
FR-D720,Mitsubishi,Inverter,FR-D700,200V Class Model,FR-D720
FR-D720S,Mitsubishi,Inverter,FR-D700,Single Phase Model,FR-D720S
FR-D740,Mitsubishi,Inverter,FR-D700,400V Class Model,FR-D740
FR-D820S,Mitsubishi,Inverter,FR-D800,Single Phase Model,FR-D820S
FR-D840,Mitsubishi,Inverter,FR-D800,400V Class Model,FR-D840
FR-E820,Mitsubishi,Inverter,FR-E800,200V Class Model,FR-E820
FR-E840,Mitsubishi,Inverter,FR-E800,400V Class Model,FR-E840
FX Series,Mitsubishi,PLC,FX Series,Compact PLC Family,
FX3,Mitsubishi,PLC,FX Series,FX3U/FX3G/FX3S,FX3
FX5,Mitsubishi,PLC,FX Series,iQ-F (FX5U/FX5UJ),FX5
GS Series,Mitsubishi,HMI,GOT (GS/GT),GS2000 Series,GS Series
GT Series,Mitsubishi,HMI,GOT (GS/GT),GT21/GT25/GT27,GT Series
IC2,Danfoss,Inverter,IC2,VLT Compact,IC2
Input,Mitsubishi,PLC,Q Series,Digital Input Module,Input
MR-J4,Mitsubishi,Servo,MELSERVO,MR-J4 Family,MR-J4
MR-J5,Mitsubishi,Servo,MELSERVO,MR-J5 Family,MR-J5
MR-JE,Mitsubishi,Servo,MELSERVO,MR-JE Family,MR-JE
Output,Mitsubishi,PLC,Q Series,Digital Output Module,Output
Power Supply,Mitsubishi,PLC,Q Series,PSU Module,Power Supply
Q Series,Mitsubishi,PLC,Q Series,Modular PLC Family,
